,model,label,model_output
0,SVR,0.08533333333333347,1.0378762177490355
1,SVR,0.02175000000000026,0.9906028489745612
2,SVR,0.44966666666666705,1.366408096764783
3,SVR,0.6647666666666666,1.5348760543007707
4,SVR,1.5037499999999997,2.1584514891859885
5,SVR,4.4957,4.283278378059035
6,SVR,4.655849999999999,4.419857415785191
7,SVR,0.9408166666666659,1.8790320716164874
8,SVR,1.0620166666666664,1.870241129775351
9,SVR,1.7826666666666666,2.3721834175581895
10,SVR,1.0132333333333334,1.8308574646685445
11,SVR,0.5507499999999996,1.5144573797254712
12,SVR,0.5964,1.7785138974773314
13,SVR,0.5866666666666676,1.7679782509876296
14,SVR,0.6148999999999998,1.7868632473582615
15,SVR,0.5996333333333337,1.7744781311574263
16,SVR,0.6192166666666664,1.788380216313846
17,SVR,0.6342166666666668,1.7960739716612995
18,SVR,0.615033333333333,1.7824556173590163
19,SVR,0.5727833333333334,1.7363465391935706
20,SVR,0.14378333333333354,1.2675468787877646
21,SVR,0.0028166666666668803,1.152689235764027
22,SVR,0.0,1.2243347843122698
23,SVR,0.0,1.2691898517939018
24,SVR,0.0,1.272440354593389
25,SVR,0.0,1.2397433265771851
26,SVR,0.0,1.1872621187826247
27,SVR,0.0,1.1709137777895313
28,SVR,0.021849999999999675,1.319640814904588
29,SVR,0.66155,1.8630578506645135
30,SVR,1.0005833333333332,2.0258209132494676
31,SVR,1.1924833333333327,2.117253790338349
32,SVR,1.1716166666666668,2.087116157454309
33,SVR,1.1110499999999999,2.050249656102152
34,SVR,1.1044499999999995,2.0512602580151027
35,SVR,0.9707833333333341,1.9666014866415789
36,SVR,0.6973333333333339,1.9094058322202105
37,SVR,0.6833833333333335,1.9187759517565284
38,SVR,0.73525,1.9549824272805163
39,SVR,1.7733500000000002,2.660531083836717
40,SVR,7.518566666666668,6.544881204515183
41,SVR,3.2365166666666694,3.46052616109893
42,SVR,0.6968333333333332,1.8164586411694363
43,SVR,0.5698333333333332,1.8031912908910548
44,SVR,0.0949999999999997,1.2696058951585918
45,SVR,0.0,1.1987431309964631
46,SVR,0.0,1.1902282000541613
47,SVR,0.0,1.2166055665665005
48,SVR,0.0,1.2045407264425008
49,SVR,0.0,1.1855864652810593
50,SVR,0.0,1.1845283842154866
51,SVR,0.0,1.2477842157845398
52,SVR,0.5304999999999999,1.7806225064372834
53,SVR,1.783633333333334,2.681112692250558
54,SVR,1.6366333333333332,2.498387661503108
55,SVR,1.3387999999999998,2.3039541920795537
56,SVR,1.2730833333333336,2.2768426701622966
57,SVR,1.217883333333334,2.243361265342625
58,SVR,0.7904166666666671,1.9566946350202357
59,SVR,0.7814333333333328,1.978714362374632
60,SVR,0.8066666666666669,1.7983497774865191
61,SVR,0.7787333333333328,1.7771777734459555
62,SVR,0.9038833333333334,1.866164508245174
63,SVR,2.5375833333333326,3.0045117466496545
64,SVR,7.730150000000001,6.568292392436691
65,SVR,3.7836000000000007,3.6879941214465184
66,SVR,0.7946833333333336,1.6848993746879406
67,SVR,0.8440833333333331,1.8164427560723244
68,SVR,0.33623333333333316,1.3564187544121418
69,SVR,0.005016666666666796,1.021112915584428
70,SVR,0.0,1.0210339968741489
71,SVR,0.0,1.0254589625863098
72,SVR,0.0,1.0436644135706012
73,SVR,0.0,1.0480254502615598
74,SVR,1.5841833333333328,2.0780843409255345
75,SVR,5.749933333333331,4.902592454329875
76,SVR,5.476383333333335,4.760098039232514
77,SVR,2.0795000000000003,2.5448000142482536
78,SVR,0.9234333333333338,1.8067360514511372
79,SVR,1.214966666666667,2.0729702624176873
80,SVR,1.1672333333333331,2.020517871767904
81,SVR,1.0661666666666667,1.9531598557135268
82,SVR,1.0553833333333322,1.9521265226015385
83,SVR,0.6015500000000001,1.6379338349791135
84,SVR,0.6129666666666671,1.3280118011721147
85,SVR,0.7051166666666667,1.3989405520027596
86,SVR,0.6947999999999998,1.3869905262826623
87,SVR,0.5983666666666666,1.3127070390396192
88,SVR,4.209416666666666,4.150394235283385
89,SVR,2.0988666666666678,2.4479452081766846
90,SVR,0.7303666666666672,1.379858113025856
91,SVR,0.8902333333333333,1.5376375836680976
92,SVR,0.6827500000000003,1.3440670648895725
93,SVR,0.06863333333333314,0.8063585721089263
94,SVR,0.0,0.6662109315383998
95,SVR,0.0,0.7809575266637244
96,SVR,0.0,0.7627764614986042
97,SVR,0.0,0.7801911209996277
98,SVR,0.0,0.6781890916278385
99,SVR,0.01421666666666625,0.6677529153622963
100,SVR,0.05728333333333313,0.7890337313651511
101,SVR,0.5642833333333334,1.3079226580528345
102,SVR,0.5751833333333335,1.3004024519506114
103,SVR,0.5611666666666668,1.2890620729580289
104,SVR,0.6256999999999998,1.339676293843781
105,SVR,0.6220333333333333,1.333979474150702
106,SVR,1.0942333333333332,1.7010685264422847
107,SVR,1.0066666666666668,1.6144492756824647
108,SVR,0.9422833333333333,1.8727695017562629
109,SVR,0.8965166666666665,1.8423439205065217
110,SVR,0.6555000000000002,1.6735474539385458
111,SVR,0.6491166666666677,1.6772009444824418
112,SVR,6.69625,5.972105879049331
113,SVR,2.020366666666666,2.731578984306891
114,SVR,0.5871333333333336,1.604346215481455
115,SVR,0.66895,1.6937413055692383
116,SVR,0.7328333333333336,1.7238800045549814
117,SVR,0.43684999999999974,1.495671500174854
118,SVR,0.39518333333333316,1.471298073595015
119,SVR,0.08901666666666692,1.2083740706001689
120,SVR,0.005316666666666463,1.065584098347557
121,SVR,0.04703333333333307,1.159733756241843
122,SVR,0.0013833333333334089,1.0627762728443373
123,SVR,0.22581666666666644,1.322818502049065
124,SVR,0.17163333333333364,1.2457583452462404
125,SVR,0.6057333333333335,1.6619732313657876
126,SVR,1.1215000000000002,2.013358766955693
127,SVR,1.0955333333333335,1.9779829082527942
128,SVR,1.0343833333333337,1.9353927280402792
129,SVR,1.0301999999999996,1.9341863982575622
130,SVR,0.9988666666666669,1.9121219950001964
131,SVR,0.9377999999999995,1.8698295570903214
132,SVR,0.6646333333333334,1.6130865518767565
133,SVR,0.5951166666666661,1.5710203130571607
134,SVR,0.6034666666666666,1.5782093858766248
135,SVR,0.603683333333333,1.578166745229793
136,SVR,4.959533333333331,4.566749623683482
137,SVR,1.801466666666666,2.458313263902984
138,SVR,0.6258333333333331,1.5815172633909664
139,SVR,0.8171500000000003,1.6898578631922636
140,SVR,0.3337999999999999,1.1945778792537096
141,SVR,0.0,1.001513938697067
142,SVR,0.0,1.1000435990061195
143,SVR,1.8847166666666666,2.2928594297365867
144,SVR,0.4974000000000003,1.4296973106325617
145,SVR,0.0,1.1181068484828478
146,SVR,0.0,1.0617891674512383
147,SVR,0.0,0.9944352165649548
148,SVR,4.308566666666666,4.004056929368693
149,SVR,1.0647833333333332,1.9296122842092442
150,SVR,5.358583333333332,4.8371585852919665
151,SVR,3.7656333333333336,3.7826418291472876
152,SVR,1.868333333333333,2.4537402413350233
153,SVR,5.726383333333332,5.08947533159285
154,SVR,1.6890666666666665,2.429719118252156
155,SVR,1.0060000000000004,1.8382410946625027
156,SVR,0.8176166666666664,2.0630694669414824
157,SVR,0.6200166666666667,1.9502456393469263
158,SVR,0.7214999999999998,2.019045758022499
159,SVR,0.6952499999999996,1.9992194361905704
160,SVR,0.7171500000000001,2.0134590299524073
161,SVR,0.7379166666666674,2.02517128187502
162,SVR,0.7941333333333337,2.058377161320979
163,SVR,0.6866500000000002,1.9530589187038443
164,SVR,0.14361666666666645,1.4873577348165934
165,SVR,0.030800000000000233,1.4487569297095342
166,SVR,1.8020666666666667,2.489694505350753
167,SVR,0.0,1.4836626393588719
168,SVR,0.9807833333333339,2.068217195754467
169,SVR,0.0,1.4705691030918295
170,SVR,0.0,1.4644249962273752
171,SVR,0.39044999999999985,1.6563320932897971
172,SVR,0.4554833333333334,1.7489311967860712
173,SVR,1.3139999999999998,2.377197092586299
174,SVR,2.1281833333333338,2.8510789360342716
175,SVR,2.0449666666666664,2.779974393033049
176,SVR,1.72375,2.586020406687204
177,SVR,1.787083333333334,2.631325423266821
178,SVR,1.1056999999999997,2.2166239138229895
179,SVR,0.8656833333333331,2.0889198895423147
180,SVR,0.7173999999999996,1.8862613935786685
181,SVR,0.8283499999999995,1.9635605259889086
182,SVR,7.645266666666665,6.334202402164464
183,SVR,7.344,5.9479676275457605
184,SVR,7.545399999999999,6.0817594874647
185,SVR,1.718983333333334,2.61452962218176
186,SVR,0.7344833333333335,1.8677215194900045
187,SVR,2.3314666666666666,2.9170677378889316
188,SVR,4.188766666666665,3.9955506827099154
189,SVR,0.0,1.1879754317589692
190,SVR,0.0,1.170818255493269
191,SVR,0.0,1.222880824151343
192,SVR,0.0,1.2360430312777084
193,SVR,0.0,1.2152987181341814
194,SVR,0.0,1.1744337471678739
195,SVR,0.027599999999999777,1.243514795776365
196,SVR,0.28405,1.5717577080051353
197,SVR,0.8098833333333335,1.9710941240791202
198,SVR,1.0683833333333328,2.112388814354337
199,SVR,1.2700666666666665,2.2299490614508
200,SVR,1.2367333333333328,2.200636113420327
201,SVR,1.458716666666667,2.343833125147212
202,SVR,1.0758833333333337,2.0914881147893234
203,SVR,0.7932833333333333,1.9257657602513365
204,SVR,1.0127333333333342,2.0736851040025694
205,SVR,0.9185833333333334,2.0009946560469087
206,SVR,0.7915166666666663,1.9220292978389717
207,SVR,0.8533833333333334,1.9689229896751654
208,SVR,6.839349999999999,5.9460419243430955
209,SVR,2.308183333333332,2.901940182383338
210,SVR,0.8668166666666669,1.9251652304677265
211,SVR,0.9573999999999999,1.9863046368888908
212,SVR,0.048900000000000186,1.1569534851865397
213,SVR,0.0,1.1273166458220953
214,SVR,0.0,1.162898377741826
215,SVR,0.0,1.2001203765924873
216,SVR,0.0,1.2098256943059873
217,SVR,0.0,1.1820385259595858
218,SVR,0.0,1.1413202236880093
219,SVR,0.0,1.1436580851534057
220,SVR,0.14889999999999975,1.3870802797963386
221,SVR,1.1504499999999995,2.198729286386539
222,SVR,1.2214666666666667,2.193917775631938
